MiB_Mem_free MiB_Mem_used MiB_Mem_cache MiB_Swap_free MiB_Swap_used MiB_Swap_avail 1PID 1VIRT 1RES 1SHR 1%CPU 1%MEM 1TIME+ 1COMMAND 2PID 2VIRT 2RES 2SHR 2%CPU 2%MEM 2TIME+ 2COMMAND 3PID 3VIRT 3RES 3SHR 3%CPU 3%MEM 3TIME+ 3COMMAND 4PID 4VIRT 4RES 4SHR 4%CPU 4%MEM 4TIME+ 4COMMAND 5PID 5VIRT 5RES 5SHR 5%CPU 5%MEM 5TIME+ 5COMMAND
1534.1 184.8 98.4 693.6 126.4 1509.6 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 
1533.6 185.3 98.4 694.1 125.9 1509.9 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1533.8 185.1 98.4 694.1 125.9 1509.3 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 
1533.5 185.4 98.4 694.1 125.9 1509.1 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1533.0 185.9 98.4 694.1 125.9 1508.6 1539 865056 39388 16140 6.7 2.1 0:04.54 node 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1533.7 185.2 98.4 694.1 125.9 1509.3 2155 813900 27768 11568 6.7 1.5 0:02.33 node 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1533.4 185.5 98.4 694.3 125.7 1508.9 2155 813900 28028 12464 6.7 1.5 0:02.34 node 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1532.8 186.1 98.4 694.8 125.2 1508.4 1539 865056 40344 16204 6.7 2.2 0:04.56 node 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 
1533.4 185.5 98.4 694.8 125.2 1508.5 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 2 0 0 0 0.0 0.0 0:00.00 kthreadd 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1528.5 187.0 101.8 695.1 124.9 1507.4 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1528.8 186.7 101.8 695.1 124.9 1506.1 2149 822876 24464 13552 13.3 1.3 0:01.23 node 2092 153552 1924 644 6.7 0.1 0:00.27 sshd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 
1529.5 186.0 101.8 695.1 124.9 1506.7 3501 0 0 0 6.2 0.0 0:00.05 kworker/0:0-events 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1528.4 187.1 101.8 695.1 124.9 1505.6 1539 865056 40236 16204 6.2 2.2 0:04.61 node 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1528.5 187.0 101.8 695.1 124.9 1505.3 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 
1528.0 187.5 101.9 695.1 124.9 1505.4 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1528.5 187.0 101.9 695.1 124.9 1505.7 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 1589 1051992 23276 13880 6.7 1.3 0:01.61 node 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1528.3 187.1 101.9 695.1 124.9 1505.6 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 6 0 0 0 0.0 0.0 0:00.00 kworker/0:0H-events_highpri 
1528.5 187.0 101.9 695.1 124.9 1506.0 1 186384 2292 2096 0.0 0.1 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 
1527.9 187.6 101.9 695.1 124.9 1505.6 
