MiB_Mem_free MiB_Mem_used MiB_Mem_cache MiB_Swap_free MiB_Swap_used MiB_Swap_avail 1PID 1VIRT 1RES 1SHR 1%CPU 1%MEM 1TIME+ 1COMMAND 2PID 2VIRT 2RES 2SHR 2%CPU 2%MEM 2TIME+ 2COMMAND 3PID 3VIRT 3RES 3SHR 3%CPU 3%MEM 3TIME+ 3COMMAND 4PID 4VIRT 4RES 4SHR 4%CPU 4%MEM 4TIME+ 4COMMAND 5PID 5VIRT 5RES 5SHR 5%CPU 5%MEM 5TIME+ 5COMMAND
67.8 1661.6 87.9 485.7 334.3 26.3 2525 1080780 717764 2488 31.2 38.6 0:10.15 mem.bash 2526 1106784 745680 2520 43.8 40.1 0:10.22 mem2.bash 49 0 0 0 5.9 0.0 0:00.44 kswapd0 1 186384 6796 3300 0.0 0.4 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 
74.4 1664.2 78.7 383.3 436.7 39.6 2526 1152984 745044 2520 41.2 40.0 0:10.72 mem2.bash 2526 1161036 749756 2520 43.8 40.3 0:10.80 mem2.bash 1539 864800 29588 9332 6.2 1.6 0:03.83 node 1 186384 6588 3260 0.0 0.4 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 
79.8 1666.9 70.7 282.6 537.4 31.9 2525 1185984 737212 2488 50.0 39.6 0:11.31 mem.bash 2526 1215684 757152 2520 43.8 40.7 0:11.39 mem2.bash 49 0 0 0 6.2 0.0 0:00.58 kswapd0 1 186384 6256 3196 0.0 0.3 0:00.84 systemd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 
75.6 1677.1 64.7 173.5 646.5 36.0 2526 1267164 759012 2476 38.9 40.8 0:11.93 mem2.bash 2525 1252248 743708 2452 41.2 40.0 0:12.00 mem.bash 49 0 0 0 5.9 0.0 0:00.66 kswapd0 1 186384 6128 3196 0.0 0.3 0:00.84 systemd 2149 822308 16060 7836 6.2 0.9 0:00.36 node 
71.9 1683.5 61.9 71.6 748.4 26.1 2526 1322340 758528 2476 35.3 40.8 0:12.51 mem2.bash 2526 1329336 760096 2476 38.9 40.8 0:12.59 mem2.bash 49 0 0 0 11.1 0.0 0:00.75 kswapd0 1 186384 5976 3196 0.0 0.3 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 
685.0 1044.7 87.6 361.3 458.7 618.4 2525 1487868 905876 1668 82.4 48.7 0:14.55 mem.bash 1589 1051160 19680 11900 5.6 1.1 0:00.98 node 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 
558.0 1165.4 94.0 361.4 458.6 516.9 2525 1590828 985.2m 1668 99.9 54.2 0:15.67 mem.bash 1 186384 4188 1400 0.0 0.2 0:00.84 systemd 1 186384 4188 1400 0.0 0.2 0:00.84 systemd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 
451.4 1269.8 96.1 362.4 457.6 409.8 2525 1698672 1.1g 1668 94.1 60.0 0:16.79 mem.bash 1539 864800 29788 8892 6.2 1.6 0:03.89 node 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 2 0 0 0 0.0 0.0 0:00.00 kthreadd 
346.7 1374.5 96.1 362.5 457.5 307.2 2525 1801104 1.2g 1668 99.9 65.5 0:17.92 mem.bash 1 186384 4188 1400 0.0 0.2 0:00.84 systemd 2 0 0 0 0.0 0.0 0:00.00 kthreadd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 4 0 0 0 0.0 0.0 0:00.00 rcu_par_gp 
243.0 1478.2 96.1 362.6 457.4 202.7 2525 1910004 1.3g 1668 83.3 71.4 0:19.07 mem.bash 1 186384 4188 1400 0.0 0.2 0:00.84 systemd 1 186384 4188 1400 0.0 0.2 0:00.84 systemd 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 3 0 0 0 0.0 0.0 0:00.00 rcu_gp 
